time,station,latitude,longitude,tas,Year,tas_F
2015-01-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.45874,2015,34.355732
2015-01-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.14804,2015,35.596472000000006
2015-01-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.84012,2015,35.04221600000007
2015-01-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.37952,2015,34.21313600000006
2015-01-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.98538,2015,35.303684000000075
2015-01-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,279.01935,2015,42.56482999999999
2015-01-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.1116,2015,35.53088000000006
2015-01-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.0843,2015,28.281740000000013
2015-01-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.75104,2015,25.881872000000023
2015-01-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,272.5409,2015,30.903620000000082
2015-01-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.18298,2015,21.259364000000016
2015-01-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,257.07834,2015,3.0710120000000884
2015-01-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,257.82455,2015,4.414190000000019
2015-01-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,263.85236,2015,15.264247999999998
2015-01-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.0545,2015,21.028100000000073
2015-01-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.99976,2015,22.729568000000008
2015-01-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,272.11914,2015,30.14445200000007
2015-01-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.98196,2015,35.29752800000007
2015-01-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,272.14825,2015,30.196850000000076
2015-01-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,263.71677,2015,15.020186000000034
2015-01-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,263.8052,2015,15.179360000000067
2015-01-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,262.36328,2015,12.583903999999997
2015-01-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.93634,2015,22.615411999999992
2015-01-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.14206,2015,24.785708000000067
2015-01-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.2512,2015,24.98216000000001
2015-01-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.97125,2015,26.278250000000035
2015-01-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,264.31018,2015,16.088324000000046
2015-01-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,265.316,2015,17.898799999999994
