time,station,latitude,longitude,hurs,Year
1950-03-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,66.52648,1950
1950-03-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,56.728943,1950
1950-03-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,61.480045,1950
1950-03-04T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,70.81312,1950
1950-03-05T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,76.04438,1950
1950-03-06T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,76.610176,1950
1950-03-07T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,82.00776,1950
1950-03-08T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,78.3238,1950
1950-03-09T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,77.93969,1950
1950-03-10T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,75.09975,1950
1950-03-11T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,77.289566,1950
1950-03-12T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,70.10468,1950
1950-03-13T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,67.0553,1950
1950-03-14T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,74.78722,1950
1950-03-15T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,73.06221,1950
1950-03-16T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,74.73799,1950
1950-03-17T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,89.670334,1950
1950-03-18T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,85.89582,1950
1950-03-19T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.81713,1950
1950-03-20T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,90.67875,1950
1950-03-21T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,71.87409,1950
1950-03-22T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,61.21257,1950
1950-03-23T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,66.27508,1950
1950-03-24T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,81.24692,1950
1950-03-25T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,93.20525,1950
1950-03-26T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,92.62299,1950
1950-03-27T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,92.87105,1950
1950-03-28T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,81.85638,1950
1950-03-29T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,70.309975,1950
1950-03-30T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,78.95096,1950
1950-04-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,80.52615,1950
