time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],hurs[unit="%"]
2077-01-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,64.37629
2077-01-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.81451
2077-01-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,72.19753
2077-01-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.529274
2077-01-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.55411
2077-01-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.64338
2077-01-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,67.98531
2077-01-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.887024
2077-01-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.98458
2077-01-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.085686
2077-01-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.68342
2077-01-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,72.44407
2077-01-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,78.76596
2077-01-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,72.71556
2077-01-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.70173
2077-01-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,72.19367
2077-01-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.509384
2077-01-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.55398
2077-01-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,66.04059
2077-01-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.84895
2077-01-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,84.18928
2077-01-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.97387
2077-01-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.50677
2077-01-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,73.611305
2077-01-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,79.396286
2077-01-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.12897
2077-01-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.060394
2077-01-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,78.03085
2077-01-29T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,82.86874
2077-01-30T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.49834
2077-02-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.55331
2077-02-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.37118
2077-02-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.76367
2077-02-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.74468
2077-02-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.15266
2077-02-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,87.40293
2077-02-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,84.17286
2077-02-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.83056
2077-02-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.02005
2077-02-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.80015
2077-02-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.87346
2077-02-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,67.13722
2077-02-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.69139
2077-02-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.833626
2077-02-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,79.791504
2077-02-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,83.36767
2077-02-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,66.902275
2077-02-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,59.68328
2077-02-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,62.66119
2077-02-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,62.02485
2077-02-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,61.53275
2077-02-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,59.735916
2077-02-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,54.500053
2077-02-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,50.437225
2077-02-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,64.64573
2077-02-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.47623
2077-02-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.68278
2077-02-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,64.77527
2077-02-29T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,60.50569
2077-02-30T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.225815
2077-03-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,87.53683
2077-03-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.6045
2077-03-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,66.07189
2077-03-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,65.61824
2077-03-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,87.99589
2077-03-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,93.579384
2077-03-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,91.936195
2077-03-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,79.07838
2077-03-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,70.78976
2077-03-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,78.749344
2077-03-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,91.472855
2077-03-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,86.32999
2077-03-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,76.5599
2077-03-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,65.44687
2077-03-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.03115
2077-03-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,92.85815
2077-03-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.96784
2077-03-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.84995
2077-03-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,82.69997
2077-03-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,93.00822
2077-03-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,89.91565
2077-03-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,79.28367
2077-03-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.47981
2077-03-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.42834
2077-03-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,72.477585
2077-03-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.273445
2077-03-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,81.99985
2077-03-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,86.713745
2077-03-29T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,87.71188
2077-03-30T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,80.20755
2077-04-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.61781
2077-04-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,71.653465
2077-04-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,68.74242
2077-04-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,73.355194
2077-04-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,80.6524
2077-04-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,84.32724
2077-04-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.18618
2077-04-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,73.29233
2077-04-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.6104
2077-04-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,80.50782
2077-04-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,90.02884
2077-04-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,93.37103
2077-04-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.26841
2077-04-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,73.41379
2077-04-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,73.18727
2077-04-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,74.27004
2077-04-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,79.755005
2077-04-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,76.64254
2077-04-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.771
2077-04-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,77.64981
2077-04-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,91.48245
2077-04-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,93.61471
2077-04-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,87.14687
2077-04-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,75.59592
2077-04-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,91.91357
2077-04-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,92.93351
2077-04-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,69.2267
2077-04-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,78.11757
2077-04-29T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,84.58189
2077-04-30T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,92.24427
2077-05-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,94.77808
2077-05-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,96.729034
2077-05-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,88.349396
