time,station,latitude,longitude,tas,Year,tas_F
1950-01-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.51605,1950,29.058890000000055
1950-01-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,265.99524,1950,19.121432000000084
1950-01-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,263.92267,1950,15.390806000000008
1950-01-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,264.51343,1950,16.45417400000009
1950-01-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.0055,1950,28.13990000000001
1950-01-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.82202,1950,29.60963600000006
1950-01-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,266.0551,1950,19.229180000000007
1950-01-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,261.54187,1950,11.105366000000071
1950-01-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,258.92505,1950,6.395090000000039
1950-01-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,260.33078,1950,8.92540400000005
1950-01-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,261.35028,1950,10.760504000000036
1950-01-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,258.35812,1950,5.374616000000014
1950-01-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,262.35388,1950,12.566984000000048
1950-01-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.92258,1950,22.590644000000008
1950-01-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.4162,1950,37.87916000000005
1950-01-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,273.90094,1950,33.35169200000003
1950-01-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.3592,1950,28.776560000000018
1950-01-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.72415,1950,29.433470000000057
1950-01-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,265.13446,1950,17.572028000000024
1950-01-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,257.43384,1950,3.710911999999997
1950-01-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,262.26596,1950,12.408728000000053
1950-01-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,262.31158,1950,12.490844000000028
1950-01-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,263.3649,1950,14.38682
1950-01-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,261.94247,1950,11.826446000000068
1950-01-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,261.48056,1950,10.995008000000087
1950-01-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,268.1709,1950,23.03762000000007
1950-01-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.0691,1950,35.45438000000003
